timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:09.328960+00:00,1.317003,1774634649328960500,1.467654,0.545464,0.790156,0.459591,-0.740314,-0.43897,0.22215,-0.195083,-0.155792,0.368042,0.345193,0.367208,-0.667638,-0.550221,0.464105,0.324485,0.437042,0.573783,-0.12089,-0.767376,-0.258536
2026-03-27T18:04:09.345762+00:00,1.333804,1774634649345761700,1.467803,0.545454,0.789975,0.460334,-0.738728,-0.438655,0.221317,-0.194606,-0.154806,0.368899,0.347012,0.364337,-0.668626,-0.546025,0.464401,0.324321,0.436946,0.573021,-0.121314,-0.768201,-0.258673
2026-03-27T18:04:09.362781+00:00,1.350823,1774634649362780600,1.467937,0.545448,0.789804,0.460569,-0.739,-0.438635,0.221011,-0.193972,-0.153818,0.369688,0.347059,0.362809,-0.672794,-0.544012,0.464658,0.324179,0.436838,0.573104,-0.121591,-0.767707,-0.258701
2026-03-27T18:04:09.379624+00:00,1.367667,1774634649379623900,1.468139,0.54537,0.789618,0.46069,-0.73908,-0.438401,0.220957,-0.19326,-0.152904,0.370541,0.347478,0.360748,-0.6756,-0.54163,0.464874,0.324067,0.436786,0.572712,-0.121934,-0.767947,-0.258695
2026-03-27T18:04:09.398118+00:00,1.38616,1774634649398117600,1.468354,0.545209,0.789469,0.459913,-0.740347,-0.437926,0.22136,-0.192221,-0.152051,0.371628,0.347229,0.357934,-0.678255,-0.542183,0.465199,0.323906,0.436702,0.572208,-0.122303,-0.768097,-0.258882
2026-03-27T18:04:09.414624+00:00,1.402667,1774634649414624000,1.468654,0.544914,0.789283,0.458997,-0.741203,-0.437069,0.22132,-0.19121,-0.151303,0.372692,0.348294,0.354231,-0.678146,-0.540728,0.465449,0.323747,0.436696,0.571467,-0.122674,-0.768914,-0.258978
2026-03-27T18:04:09.431672+00:00,1.419714,1774634649431671500,1.468962,0.544383,0.789101,0.458451,-0.741859,-0.435513,0.221328,-0.190057,-0.150637,0.373776,0.34801,0.352028,-0.681125,-0.541701,0.465622,0.323588,0.436734,0.570596,-0.122959,-0.769233,-0.259167
2026-03-27T18:04:09.448888+00:00,1.43693,1774634649448887500,1.469307,0.543873,0.788932,0.45708,-0.744385,-0.434743,0.221904,-0.18899,-0.14996,0.374759,0.348611,0.348893,-0.682206,-0.540298,0.465872,0.323367,0.436752,0.569683,-0.123435,-0.770246,-0.25959
2026-03-27T18:04:09.465624+00:00,1.453666,1774634649465623700,1.469557,0.543244,0.788805,0.456683,-0.745255,-0.433223,0.222372,-0.187987,-0.149274,0.37565,0.349372,0.346306,-0.683691,-0.537726,0.466037,0.323167,0.436821,0.568788,-0.123792,-0.77059,-0.259793
2026-03-27T18:04:09.482640+00:00,1.470682,1774634649482639500,1.4698,0.542753,0.788686,0.457112,-0.744712,-0.43105,0.222423,-0.187019,-0.148512,0.376406,0.349481,0.345197,-0.687628,-0.535988,0.4663,0.322932,0.436923,0.567901,-0.124194,-0.771582,-0.260215
